id. Response ID,Year[Month Year...ate submitted]],Carmain,Previous Plug in HEVs,Previous BatteryEVs,Previous HybridEVs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Highest Level of Education,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual Vehicle MilesTraveled Estimate ,,,,,,,
PHASE_4_3865,2018,2017 Toyota Prius Prime,,,,175000,2.95,1,3,34.46,2,35,0,2,8228.571429,,,,,,,
PHASE_4_3866,,2018 Tesla Model S 75D,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3867,2018,2017 Volkswagen e-Golf,,,,125000,2.77,1,3,13.79,2,65,0,2,7600,,,,,,,
PHASE_4_3868,,2017 Toyota Prius Prime,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3869,2018,2018 Tesla Model S P100D,,,,125000,2.98,1,3,14.53,2,80,0,2,2660,,,,,,,
PHASE_4_3870,2018,2017 Toyota Prius Prime,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3871,2018,2017 Volkswagen e-Golf,,,,375000,2.8,1,4,2.96,4,55,1,4,8428.8,,,,,,,
PHASE_4_3872,2018,2017 Volkswagen e-Golf,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3873,2018,2017 Toyota Prius Prime,,,,225000,-3,0,3,10.07,3,35,0,2,11640,,,,,,,
PHASE_4_3874,,2017 Toyota Prius Prime,,,,,,,,24.7,4,45,0,2,,,,,,,,
PHASE_4_3876,2018,2017 Toyota Prius Prime,,,,75000,2.93,0,4,64.48,2,35,0,1,22285.71429,,,,,,,
PHASE_4_3877,2018,2017 Toyota Prius Prime,,,,,-0.02,1,,4.19,2,65,0,3,5409.6,,,,,,,
PHASE_4_3878,2018,2018 Volkswagen e-Golf,,,,175000,0.09,1,2,40.4,4,45,0,2,13316,,,,,,,
PHASE_4_3879,,2017 Volkswagen e-Golf,,,,,2.96,,,8.69,3,35,0,2,,,,,,,,
PHASE_4_3880,2018,2018 Tesla Model 3 Long Range,,,,175000,1.93,0,2,31.46,1,35,1,1,18199.2,,,,,,,
PHASE_4_3881,,2017 Toyota Prius Prime,,,,,-2.78,,,17.88,5,35,0,2,,,,,,,,
PHASE_4_3882,,,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3883,,2017 Tesla Model 3 Long Range,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3884,2018,2017 Toyota Prius Prime,,,,125000,-0.22,1,3,13.19,2,35,0,1,10285.71429,,,,,,,
PHASE_4_3885,2018,2017 Toyota Prius Prime,,,,125000,-2.69,1,3,38.96,2,45,0,4,24240,,,,,,,
PHASE_4_3886,2018,2017 Toyota Prius Prime,,,,225000,2.79,1,3,9.84,2,65,0,2,9969.230769,,,,,,,
PHASE_4_3887,2018,2018 Fiat 500e,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3888,2018,2018 Tesla Model S 75D,,,,125000,2.7,1,2,,2,55,1,2,7504,,,,,,,
PHASE_4_3889,2018,2017 Toyota Prius Prime,,,,125000,-2.15,1,3,29.18,2,35,0,2,22230,,,,,,,
PHASE_4_3890,2018,2017 Tesla Model X AWD - 75D,,,,175000,-2.21,1,3,26.97,2,65,0,4,16926,,,,,,,
PHASE_4_3891,2018,2017 Toyota Prius Prime,,,,75000,0.39,1,3,8.23,3,35,0,2,12600,,,,,,,
PHASE_4_3892,2018,2017 Chevrolet Bolt EV,,,,225000,0.06,1,4,25.86,2,35,1,3,136615.3846,,,,,,,
PHASE_4_3893,2018,2018 Volkswagen e-Golf,,,,175000,2.91,1,3,3.05,3,55,0,2,3556.5,,,,,,,
PHASE_4_3894,2018,2017 Toyota Prius Prime,,,,175000,2.83,1,4,16.18,2,35,1,2,12600,,,,,,,
PHASE_4_3895,2018,2018 Tesla Model 3 Long Range,,,,125000,2.8,1,2,7.97,2,75,1,2,10627.2,,,,,,,
PHASE_4_3896,,,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3897,,2017 Toyota Prius Prime,,,,,,,,,,,,2,,,,,,,,
PHASE_4_3898,2018,2017 Volkswagen e-Golf,,,,325000,2.95,0,4,7.26,3,45,0,2,8756.4,,,,,,,
PHASE_4_3899,,2017 Toyota Prius Prime,,,,,,,,19.83,4,35,1,2,,,,,,,,
PHASE_4_3900,2018,2017 Toyota Prius Prime,,,,125000,2.93,1,3,12,2,45,1,2,12000,,,,,,,
PHASE_4_3901,,2018 Toyota Prius Prime,,,,,1.87,,,29.88,5,45,1,2,,,,,,,,
PHASE_4_3902,2018,2017 Toyota Prius Prime,,,,225000,2.99,1,3,24.93,3,55,1,4,15726.85714,,,,,,,
PHASE_4_3903,,2017 Toyota Prius Prime,,,,,,,,29.87,4,55,1,3,,,,,,,,
PHASE_4_3904,,2017 Toyota Prius Prime,,,,,,,,,2,55,0,4,,,,,,,,
PHASE_4_3905,2018,2017 Toyota Prius Prime,,,,75000,2.82,0,2,19.65,2,35,0,2,13650,,,,,,,
PHASE_4_3906,,2017 Toyota Prius Prime,,,,,,,,39.28,2,45,1,3,,,,,,,,
PHASE_4_3907,,2017 Tesla Model X AWD - 75D,,,,,0,,,28.35,5,55,0,5,,,,,,,,
PHASE_4_3908,2018,2018 Toyota Prius Prime,,,,75000,1.78,1,3,11.54,4,55,0,4,18000,,,,,,,
PHASE_4_3909,,2017 Toyota Prius Prime,,,,,2.98,,,35.09,2,55,1,2,,,,,,,,
PHASE_4_3910,2018,2017 Toyota Prius Prime,,,,125000,-1.18,1,3,7.02,2,75,0,2,11160,,,,,,,
PHASE_4_3911,,,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3912,,2017 Toyota Prius Prime,,,,,2.66,,,22.42,2,35,0,2,,,,,,,,
PHASE_4_3913,2018,2017 Toyota Prius Prime,,,,225000,2.94,1,4,40.66,4,35,0,2,24340,,,,,,,
PHASE_4_3914,,2018 Toyota Prius Prime,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3915,2018,2017 Toyota Prius Prime,,,,75000,2.74,1,4,2.4,1,65,1,1,5880,,,,,,,
PHASE_4_3916,,,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3917,,,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3918,2018,2018 Toyota Prius Prime,,,,500000,2.41,,3,6.87,5,25,0,5,7864.8,,,,,,,
PHASE_4_3919,,2017 Toyota Prius Prime,,,,,,,,,,,,4,,,,,,,,
PHASE_4_3920,,2017 Toyota Prius Prime,,,,,,,,,,,,2,,,,,,,,
PHASE_4_3921,2018,2017 Volkswagen e-Golf,,,,175000,2.54,1,3,40.14,4,35,0,2,23728,,,,,,,
PHASE_4_3922,,,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3923,2018,2018 Volkswagen e-Golf,,,,,0.55,1,4,19.62,3,55,0,3,10400,,,,,,,
PHASE_4_3924,2018,2017 Toyota Prius Prime,,,,125000,3,1,2,2.98,1,35,0,2,9257.142857,,,,,,,
PHASE_4_3925,2018,2017 Toyota Prius Prime,,,,175000,0.59,0,3,4.42,3,35,0,1,10000,,,,,,,
PHASE_4_3926,2018,2017 Toyota Prius Prime,,,,375000,2.78,1,3,49.5,9,55,0,5,26400,,,,,,,
PHASE_4_3927,,,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3928,2018,2017 Toyota Prius Prime,,,,125000,2.98,1,4,62.44,2,55,1,2,34285.71429,,,,,,,
PHASE_4_3929,2018,2017 Tesla Model S AWD - 100D,,,,275000,0.79,1,2,29.15,6,55,0,5,18133.33333,,,,,,,
PHASE_4_3930,2018,2017 Toyota Prius Prime,,,,275000,2.75,1,4,0.27,3,35,1,2,12000,,,,,,,
PHASE_4_3931,2018,2017 Toyota Prius Prime,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3932,2018,2016 Volkswagen e-Golf,,,,225000,3,1,3,6.64,4,35,0,2,5505.882353,,,,,,,
PHASE_4_3933,2018,2017 Volkswagen e-Golf,,,,275000,2.93,1,3,5.49,3,45,0,2,14105.45455,,,,,,,
PHASE_4_3934,2018,2017 Toyota Prius Prime,,,,50000,-2.99,0,3,4.33,2,45,1,2,6171.428571,,,,,,,
PHASE_4_3935,,2017 Tesla Model X AWD - 75D,,,,,,,,,,,,2,,,,,,,,
PHASE_4_3936,2018,2017 Toyota Prius Prime,,,,75000,2.87,1,3,3.79,4,35,0,5,10080,,,,,,,
PHASE_4_3937,,2017 Toyota Prius Prime,,,,,,,,,2,,,2,,,,,,,,
PHASE_4_3938,2018,2017 Toyota Prius Prime,,,,125000,2.74,1,4,0.92,2,75,0,2,3634.285714,,,,,,,
PHASE_4_3940,2018,2017 Toyota Prius Prime,,,,175000,1.78,1,4,1.58,2,75,0,1,15000,,,,,,,
PHASE_4_3941,2018,2017 Volkswagen e-Golf,,,,125000,2.92,1,4,11.38,2,75,0,2,9270.666667,,,,,,,
PHASE_4_3942,,2018 Nissan Leaf,,,,,,,,,4,45,0,3,,,,,,,,
PHASE_4_3943,2018,2017 Tesla Model S AWD - 75D,,,,50000,1.99,1,2,4.86,2,65,0,2,19075,,,,,,,
PHASE_4_3944,2018,2017 Tesla Model S AWD - 75D,,,,225000,2.87,1,4,8.15,3,55,0,2,5085.333333,,,,,,,
PHASE_4_3945,2018,2018 Tesla Model S 75D,,,,,2.78,1,2,16.45,4,55,0,4,6700,,,,,,,
PHASE_4_3946,2018,2017 Tesla Model X AWD - 75D,,,,175000,0.09,1,4,17.06,1,35,0,2,11006.18182,,,,,,,
PHASE_4_3947,,2018 Chrysler Pacifica Hybrid,,,,,,,,,5,35,0,2,,,,,,,,
PHASE_4_3948,,2017 Toyota Prius Prime,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3949,2018,2018 Tesla Model 3 Long Range,,,,125000,0.01,1,3,13.87,5,55,0,4,7920,,,,,,,
PHASE_4_3950,,2017 Toyota Prius Prime,,,,,1.33,,,7.14,4,45,1,3,,,,,,,,
PHASE_4_3951,2018,2017 Tesla Model X AWD - 75D,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3952,2018,2017 Toyota Prius Prime,,,,,2.98,1,3,3.36,2,65,0,1,9333.333333,,,,,,,
PHASE_4_3953,,2017 Toyota Prius Prime,,,,,,,,35.58,3,45,0,2,,,,,,,,
PHASE_4_3954,2018,2017 Tesla Model 3 Long Range,,,,225000,2.63,0,3,6.18,2,35,0,1,15000,,,,,,,
PHASE_4_3955,,2017 Toyota Prius Prime,,,,,,,,3.5,2,75,0,2,,,,,,,,
PHASE_4_3957,2018,2017 Toyota Prius Prime,,,,125000,3,1,2,2.95,3,45,1,3,13200,,,,,,,
PHASE_4_3958,2018,2017 Volkswagen e-Golf,,,,175000,2.96,1,2,8.32,2,45,0,2,7200,,,,,,,
PHASE_4_3959,2018,2017 Toyota Prius Prime,,,,175000,0.06,1,2,84.62,5,35,0,5,38000,,,,,,,
PHASE_4_3960,2018,2018 Tesla Model 3 Long Range,,,,75000,0.03,1,4,15.45,3,65,0,4,6000,,,,,,,
PHASE_4_3961,2018,2017 Volkswagen e-Golf,,,,225000,2.66,0,4,10.59,2,35,0,2,9333.333333,,,,,,,
PHASE_4_3963,2018,2018 Tesla Model X P100D,,,,275000,,1,4,1.99,4,45,0,2,52800,,,,,,,
PHASE_4_3964,2018,2017 Toyota Prius Prime,,,,50000,2.45,1,4,1.98,2,80,1,1,3868.8,,,,,,,
PHASE_4_3965,2018,2017 Toyota Prius Prime,,,,225000,2.99,1,3,7.78,3,55,1,3,14101.09091,,,,,,,
PHASE_4_3966,2018,2017 Toyota Prius Prime,,,,50000,-1.44,1,4,14.09,4,18,1,3,4845.333333,,,,,,,
PHASE_4_3967,2018,2017 Toyota Prius Prime,,,,125000,2.76,1,4,2.39,2,65,1,2,7466.4,,,,,,,
PHASE_4_3968,2018,2017 Volkswagen e-Golf,,,,225000,2.92,1,3,32.98,2,55,0,2,-38104,,,,,,,
PHASE_4_3969,,2017 Tesla Model X AWD - 75D,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3970,2018,2017 Toyota Prius Prime,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3971,2018,2017 Nissan Leaf,,,,175000,2.76,1,4,6,4,45,0,2,10285.71429,,,,,,,
PHASE_4_3972,2018,2017 Tesla Model S AWD - 100D,,,,225000,2.95,1,3,20.38,4,35,0,2,30000,,,,,,,
PHASE_4_3973,,2017 Toyota Prius Prime,,,,,,,,,,,,3,,,,,,,,
PHASE_4_3974,,2017 Toyota Prius Prime,,,,,,,,,3,55,0,3,,,,,,,,
PHASE_4_3975,2018,2018 Tesla Model X 75D,,,,125000,-2.19,1,3,12.53,2,35,0,3,6685.333333,,,,,,,
PHASE_4_3976,2018,2017 Volkswagen e-Golf,,,,275000,1.62,0,3,2.48,2,25,0,2,6000,,,,,,,
PHASE_4_3977,2018,2013 Tesla Model S (85 kW-hr battery pack),,,,175000,-0.14,1,2,31.31,2,35,0,3,28838.70968,,,,,,,
PHASE_4_3978,,2017 Toyota Prius Prime,,,,,0.29,,,5.78,1,55,1,2,,,,,,,,
PHASE_4_3979,2018,2017 Toyota Prius Prime,,,,75000,-2.83,1,3,31.66,4,45,0,3,13333.33333,,,,,,,
PHASE_4_3980,2018,2017 Toyota Prius Prime,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3981,,,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3982,2018,2017 Volkswagen e-Golf,,,,,-3,1,3,3.27,2,65,0,2,5533.333333,,,,,,,
PHASE_4_3983,2018,2017 Tesla Model S AWD - 75D,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3984,2018,2018 Toyota Prius Prime,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3985,2018,2017 Volkswagen e-Golf,,,,225000,3,1,3,19.04,2,55,1,3,11640,,,,,,,
PHASE_4_3986,2018,2017 Toyota Prius Prime,,,,125000,-0.01,1,2,25.66,4,45,0,3,19333.33333,,,,,,,
PHASE_4_3987,2018,2017 Volkswagen e-Golf,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3988,2018,2018 Tesla Model X 75D,,,,,-0.01,1,4,24.69,2,65,0,5,9030.857143,,,,,,,
PHASE_4_3989,2018,2017 Tesla Model X AWD - 100D,,,,175000,2.13,1,3,16.91,2,25,1,3,22888,,,,,,,
PHASE_4_3990,2018,2017 Toyota Prius Prime,,,,125000,2.93,1,2,14.33,2,75,1,2,3500,,,,,,,
PHASE_4_3991,2018,2018 Tesla Model 3 Long Range,,,,175000,2.77,1,3,,2,65,0,5,3028.8,,,,,,,
PHASE_4_3992,2018,2017 Toyota Prius Prime,,,,325000,2.14,1,2,14,3,55,0,3,15818.4,,,,,,,
PHASE_4_3993,,2017 Toyota Prius Prime,,,,,,,,,2,35,0,2,,,,,,,,
PHASE_4_3994,2018,2018 Toyota Prius Prime,,,,275000,-2.95,1,3,40.36,4,35,0,2,18000,,,,,,,
PHASE_4_3995,,,,,,,,,,,,,,1,,,,,,,,
PHASE_4_3996,2018,2018 Tesla Model 3 Long Range,,,,175000,2.47,1,4,28.19,2,55,0,4,19447.2,,,,,,,
PHASE_4_3997,2018,2017 Tesla Model X AWD - 100D,,,,125000,-2.8,1,2,21.72,2,65,1,2,27710.66667,,,,,,,
PHASE_4_3998,,2017 Volkswagen e-Golf,,,,,2.71,,,4.92,4,35,0,1,,,,,,,,
PHASE_4_3999,,2017 Tesla Model X AWD - 100D,,,,,,,,22.9,4,35,1,2,,,,,,,,
PHASE_4_4000,,2018 Tesla Model 3 Long Range,,,,,,,,1.74,2,65,0,1,,,,,,,,
PHASE_4_4001,2018,2017 Volkswagen e-Golf,,,,125000,2.82,0,3,3.84,2,35,0,2,7638.666667,,,,,,,
PHASE_4_4002,2018,2018 Toyota Prius Prime,,,,225000,-3,0,4,20.56,2,45,0,2,31730,,,,,,,
PHASE_4_4003,2018,2017 Toyota Prius Prime,,,,75000,0.88,0,4,4.32,1,55,0,1,4547.368421,,,,,,,
PHASE_4_4004,2018,2017 Tesla Model X AWD - 100D,,,,225000,-1.76,1,3,36.41,4,35,0,2,30000,,,,,,,
PHASE_4_4005,,2017 Toyota Prius Prime,,,,,,,,,,,,1,,,,,,,,
PHASE_4_4006,,,,,,,,,,,,,,1,,,,,,,,
PHASE_4_4007,2018,2017 Toyota Prius Prime,,,,75000,2.25,1,4,16.65,1,45,1,2,10933.33333,,,,,,,
PHASE_4_4009,2018,2017 Toyota Prius Prime,,,,175000,0.03,1,3,25.41,4,45,0,2,17016,,,,,,,
PHASE_4_4010,2018,2017 Toyota Prius Prime,,,,75000,2.09,1,3,35.69,1,45,0,1,20130,,,,,,,
PHASE_4_4011,2018,2017 Toyota Prius Prime,,,,,-1.65,0,4,7.45,1,35,0,1,7197.6,,,,,,,
PHASE_4_4012,2018,2017 Toyota Prius Prime,,,,75000,2.88,1,2,14.68,2,75,0,2,16240,,,,,,,
PHASE_4_4013,2018,2018 Tesla Model 3 Long Range,,,,125000,2.96,1,3,3.97,5,55,0,4,11124,,,,,,,
PHASE_4_4014,2018,2018 Toyota Prius Prime,,,,125000,2.99,1,4,7.54,4,75,1,4,3367.5,,,,,,,
PHASE_4_4015,2018,2017 Volkswagen e-Golf,,,,125000,2.73,1,4,9.6,3,18,0,4,17000,,,,,,,
PHASE_4_4016,2018,2017 Toyota Prius Prime,,,,225000,2.78,1,3,,2,65,1,2,3600,,,,,,,
PHASE_4_4017,,2017 Toyota Prius Prime,,,,,,,,,,,,2,,,,,,,,
PHASE_4_4018,2018,2017 Tesla Model X AWD - 100D,,,,225000,2.77,1,4,2.58,2,75,1,3,9602.4,,,,,,,
PHASE_4_4019,2018,2017 Toyota Prius Prime,,,,,2.84,1,3,0.97,2,35,0,3,10800,,,,,,,
PHASE_4_4020,2018,2018 Toyota Prius Prime,,,,125000,2.97,1,3,5.3,2,80,0,2,2809.090909,,,,,,,
PHASE_4_4021,2018,2017 Toyota Prius Prime,,,,125000,3,1,4,17.39,1,55,1,1,16666.66667,,,,,,,
PHASE_4_4022,,2017 Volkswagen e-Golf,,,,,,,,,2,55,0,2,,,,,,,,
PHASE_4_4023,2018,2016 Volkswagen e-Golf,,,,175000,2.73,1,4,8.78,4,35,0,3,7500,,,,,,,
PHASE_4_4024,2018,2017 Tesla Model X AWD - 100D,,,,,2.84,1,2,3.15,3,35,0,4,12678.66667,,,,,,,
PHASE_4_4025,2018,2018 Toyota Prius Prime,,,,175000,2.79,1,2,76.39,2,45,1,3,24000,,,,,,,
PHASE_4_4026,,2017 Toyota Prius Prime,,,,,,,,,,,,3,,,,,,,,
PHASE_4_4027,2018,2017 Toyota Prius Prime,,,,75000,2.77,1,4,3.9,3,45,0,2,9865.714286,,,,,,,
PHASE_4_4028,2018,2018 Tesla Model S 75kWh,,,,175000,1.31,1,4,,2,45,1,3,12260,,,,,,,
PHASE_4_4030,2018,2017 Toyota Prius Prime,,,,125000,0.04,1,2,36.84,2,55,1,3,19636.36364,,,,,,,
PHASE_4_4031,2018,2017 Toyota Prius Prime,,,,125000,0.61,1,3,6.86,3,65,0,3,6400,,,,,,,
PHASE_4_4032,2018,2015 Tesla Model S AWD - P90D,,,,225000,2.29,1,3,21.67,3,45,0,3,16023.69231,,,,,,,
PHASE_4_4033,,,,,,,,,,,,,,1,,,,,,,,
PHASE_4_4034,,2018 Tesla Model 3 Long Range,,,,,2.77,,,8.95,5,55,0,3,,,,,,,,
PHASE_4_4035,2018,2017 Toyota Prius Prime,,,,125000,1.68,0,3,6.34,2,35,0,2,6680,,,,,,,
PHASE_4_4036,,2017 Toyota Prius Prime,,,,,,,,,,,,2,,,,,,,,
PHASE_4_4037,2018,2017 Toyota Prius Prime,,,,125000,0.02,1,3,11.67,1,35,0,2,9333.333333,,,,,,,
PHASE_4_4038,,2018 Toyota Prius Prime,,,,,,,,,5,35,0,4,,,,,,,,
PHASE_4_4039,2018,2017 Toyota Prius Prime,,,,125000,2.32,1,4,2.13,2,55,1,4,1528.421053,,,,,,,
PHASE_4_4040,2018,2017 Toyota Prius Prime,,,,75000,2.91,1,4,5.13,1,65,0,2,8608.695652,,,,,,,
PHASE_4_4041,2018,2018 Tesla Model X 100D,,,,175000,2.9,0,2,8.12,2,35,,3,21050,,,,,,,
PHASE_4_4042,2018,2018 Tesla Model X 100D,,,,275000,2.75,1,4,4.48,3,45,1,2,8644,,,,,,,
PHASE_4_4043,2018,2017 Toyota Prius Prime,,,,125000,2.92,1,3,12.48,3,45,1,3,415.3846154,,,,,,,
PHASE_4_4044,2018,2017 Tesla Model 3 Long Range,,,,125000,3,1,3,14.98,5,55,0,4,13333.33333,,,,,,,
PHASE_4_4045,2018,2017 Volkswagen e-Golf,,,,225000,2.94,1,4,30.37,3,35,0,2,11400,,,,,,,
PHASE_4_4046,2018,2017 Toyota Prius Prime,,,,175000,2.89,1,3,29.69,3,55,0,3,12840,,,,,,,
PHASE_4_4047,2018,2017 Toyota Prius Prime,,,,175000,2.07,0,3,33.75,2,25,0,2,18800,,,,,,,
PHASE_4_4048,2018,2017 Toyota Prius Prime,,,,75000,2.81,0,3,24.11,1,25,0,1,12960,,,,,,,
PHASE_4_4049,2018,2017 Toyota Prius Prime,,,,125000,2.95,1,4,12.7,2,65,0,3,3060,,,,,,,
PHASE_4_4050,2018,2017 Toyota Prius Prime,,,,175000,2.98,1,4,148.32,1,35,0,1,22133.33333,,,,,,,
PHASE_4_4051,2018,2017 Chevrolet Bolt EV,,,,325000,1.46,1,4,14.92,2,75,0,2,9604.8,,,,,,,
PHASE_4_4052,2018,2017 Toyota Prius Prime,,,,125000,2.43,0,3,2.04,2,25,1,2,1332.705882,,,,,,,
PHASE_4_4053,,2017 Toyota Prius Prime,,,,,,,,,,,,1,,,,,,,,
PHASE_4_4054,2018,2018 Volkswagen e-Golf,,,,,,,,,,,,1,,,,,,,,
PHASE_4_4055,2018,2017 Toyota Prius Prime,,,,125000,2.99,0,3,1.83,1,45,0,1,4352.4,,,,,,,
PHASE_4_4056,2018,2017 Toyota Prius Prime,,,,75000,2.96,1,3,7.9,2,65,1,1,4480.5,,,,,,,
PHASE_4_4057,2018,2018 Tesla Model S 75D,,,,75000,0.07,1,4,10.71,2,65,0,2,-20400,,,,,,,
PHASE_4_4058,2018,2018 Tesla Model 3 Long Range,,,,225000,2.88,1,3,15.38,4,55,0,4,12744,,,,,,,
PHASE_4_4059,2018,2018 Ford Focus Electric,,,,275000,2.96,1,3,,2,25,0,2,12960,,,,,,,
PHASE_4_4060,2018,2017 Toyota Prius Prime,,,,125000,0.06,1,3,29.78,2,55,0,3,8400,,,,,,,
PHASE_4_4061,2018,2017 Toyota Prius Prime,,,,175000,2.72,1,4,7.76,2,75,1,3,15000,,,,,,,
PHASE_4_4062,2018,2017 Chevrolet Bolt EV,,,,325000,2.89,1,4,40.7,2,65,0,2,13636.36364,,,,,,,
PHASE_4_4063,2018,2018 Tesla Model X P100D,,,,275000,2.8,1,4,19.88,4,35,1,2,24196,,,,,,,
PHASE_4_4064,2018,2017 Chevrolet Bolt EV,,,,,2.67,1,3,11.13,4,45,1,3,10052.4,,,,,,,
PHASE_4_4065,2018,2017 Chevrolet Bolt EV,,,,325000,2.97,1,4,53.39,4,55,0,2,13285.71429,,,,,,,
PHASE_4_4066,2018,2017 Toyota Prius Prime,,,,325000,2.99,1,4,24.36,5,35,1,2,12110.4,,,,,,,
PHASE_4_4067,2018,2017 Toyota Prius Prime,,,,75000,2.95,0,3,14.63,1,25,1,1,7333.333333,,,,,,,
PHASE_4_4068,2018,2018 Toyota Prius Prime,,,,125000,-3,1,2,24.03,2,65,0,2,8272.5,,,,,,,
PHASE_4_4069,2018,2018 Tesla Model 3 Long Range,,,,175000,-0.99,1,3,9.66,6,45,0,2,9300,,,,,,,
PHASE_4_4071,2018,2017 Toyota Prius Prime,,,,50000,-2.94,1,2,3.31,4,75,0,3,8666.666667,,,,,,,
PHASE_4_4072,,,,,,,,,,,,,,1,,,,,,,,
PHASE_4_4073,2018,2017 Tesla Model 3 Long Range,,,,375000,2.85,1,3,2.28,4,55,1,2,6075,,,,,,,
PHASE_4_4074,2018,2017 Toyota Prius Prime,,,,75000,2.98,1,3,,2,65,1,2,12560,,,,,,,
PHASE_4_4075,,2017 Toyota Prius Prime,,,,,3,,,,1,75,1,1,,,,,,,,
PHASE_4_4076,2018,2017 Toyota Prius Prime,,,,,2.97,1,4,15.23,1,65,1,1,12086.25,,,,,,,
PHASE_4_4077,,2017 Volkswagen e-Golf,,,,,,,,,,,,1,,,,,,,,
PHASE_4_4078,,2017 Toyota Prius Prime,,,,,-2.16,,,11.43,4,45,1,3,,,,,,,,
PHASE_4_4079,2018,2017 Toyota Prius Prime,,,,275000,2.91,0,3,4.6,4,35,0,2,7466.666667,,,,,,,
PHASE_4_4080,,2018 Tesla Model X 75D,,,,,,,,,4,35,0,1,,,,,,,,
PHASE_4_4081,2018,2017 Toyota Prius Prime,,,,225000,,1,3,36.04,5,45,0,4,9600,,,,,,,
PHASE_4_4082,2018,2017 Toyota Prius Prime,,,,,,,,,,,,1,,,,,,,,
PHASE_4_4084,,,,,,,,,,,,,,1,,,,,,,,
PHASE_4_4085,2018,2018 Tesla Model X 75D,,,,,,,,,,,,1,,,,,,,,
PHASE_4_4086,2018,2017 Toyota Prius Prime,,,,125000,1.86,0,4,,2,35,0,1,10457.14286,,,,,,,
PHASE_4_4087,,2017 Toyota Prius Prime,,,,,2.95,,,,2,65,0,2,,,,,,,,
PHASE_4_4088,2018,2018 Tesla Model 3 Long Range,,,,275000,2.77,1,3,40.34,4,55,0,5,31500,,,,,,,
PHASE_4_4089,,2018 Volkswagen e-Golf,,,,,,,,,,,,1,,,,,,,,
PHASE_4_4090,2018,2017 Toyota Prius Prime,,,,50000,2.14,1,2,11.66,1,25,0,1,4516.8,,,,,,,
PHASE_4_4091,,,,,,,,,,,,,,1,,,,,,,,
PHASE_4_4092,2018,2018 Tesla Model 3 Long Range,,,,,2.73,1,4,11.97,4,45,0,2,8342.666667,,,,,,,
PHASE_4_4093,2018,2018 Tesla Model X 75D,,,,275000,2.91,1,4,74.83,4,45,0,3,20226,,,,,,,
PHASE_4_4094,2018,2017 Toyota Prius Prime,,,,75000,2.82,1,4,1.74,1,75,1,1,6378.6,,,,,,,
PHASE_4_4095,2018,2018 Tesla Model X 75D,,,,275000,0.94,1,4,5.93,3,35,0,2,15000,,,,,,,
PHASE_4_4096,2018,2018 Tesla Model 3 Long Range,,,,75000,3,1,3,,2,75,0,2,5760,,,,,,,
PHASE_4_4097,2018,2016 Tesla Model S (90 kW-hr battery pack),,,,,,,,,,,,1,,,,,,,,
PHASE_4_4098,,2017 Volkswagen e-Golf,,,,,,,,,,,,5,,,,,,,,
PHASE_4_4099,2018,2018 Tesla Model 3 Long Range,,,,225000,2.5,1,4,6.49,2,75,0,2,9920,,,,,,,
PHASE_4_4100,2018,2017 Toyota Prius Prime,,,,50000,2.93,1,2,12.72,1,65,1,1,7230,,,,,,,
PHASE_4_4101,2018,2017 Tesla Model X AWD - 100D,,,,500000,1.45,1,3,,3,55,0,2,3897.333333,,,,,,,
PHASE_4_4102,2018,2017 Toyota Prius Prime,,,,175000,2.76,0,4,13.67,2,35,0,2,13200,,,,,,,
PHASE_4_4103,2018,2017 Toyota Prius Prime,,,,125000,0.58,0,4,31.5,3,35,0,2,20800,,,,,,,
PHASE_4_4104,2018,2018 Tesla Model 3 Long Range,,,,175000,2.94,0,3,7.12,1,45,0,1,10332,,,,,,,
PHASE_4_4105,,2017 Volkswagen e-Golf,,,,,,,,,,,,2,,,,,,,,
PHASE_4_4106,2018,2018 Tesla Model S 75D,,,,175000,2.93,1,2,41.35,1,55,0,3,24038,,,,,,,
